name,Zip code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,Free Parking,On-site Parking,Fitness Center,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Laundry,Pet Friendly,Outdoor Pool,Facilities for Disabled Guests,Bar,Non-smoking Rooms,Terrace,Swimming Pool,24-Hour Front Desk,Dist
Popular Hollywood Blvd Luxury Penthouse,90028.0,35.0,8.5,8.6,8.8,8.4,8.4,8.0,8.3,8.9,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,6.2
Oakwood Toluca Hills,90068.0,1534.0,8.1,7.8,8.4,8.1,8.1,7.9,8.7,8.4,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,8.1
Popular Hollywood Skyline View Penthouse,90028.0,10.0,8.5,8.8,9.3,8.0,7.5,8.0,9.3,4.0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,6.2
Heaven on Hollywood Furnished Apartments,90028.0,213.0,7.9,7.7,8.0,7.8,7.6,7.4,8.9,8.9,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,6.2
Downtown LA 3-Bedroom Pool Suite #1,90017.0,11.0,8.4,8.6,9.1,8.9,8.2,7.3,10.0,8.2,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1.3
Popular Hollywood Blvd Modern Suite,90015.0,58.0,8.4,8.5,8.6,8.5,8.2,8.1,10.0,8.7,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,6.2
Popular Hollywood Prestige Suite,90028.0,12.0,8.2,8.3,8.1,8.3,7.3,7.5,8.8,9.4,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,6.2
The Peninsula Beverly Hills,90212.0,199.0,9.4,9.7,9.6,9.4,9.4,8.4,9.7,9.6,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,9.3
East West Comfort: Downtown LA Cozy Apartments,90015.0,11.0,9.1,9.6,9.1,9.6,9.3,8.6,8.2,8.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1.7
Hollywood Private Bungalow,90038.0,19.0,9.0,8.8,8.8,9.0,9.1,8.7,10.0,9.4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,5.6
Urban DTLA Chic Stylish Suite,90015.0,34.0,8.8,8.7,8.5,8.9,9.1,8.6,9.2,9.2,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0.9
Hollywood Megastar 5 beds 2-BR pool,90028.0,8.0,9.3,8.1,10.0,9.7,9.1,9.1,10.0,6.0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,6.2
Popular Downtown LA Cirrus Resort Style Suite,90012.0,23.0,8.1,8.1,8.6,7.9,8.5,7.8,10.0,7.9,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0.8
LA Clean and Comfy Suite,90036.0,11.0,8.9,8.4,8.9,8.6,8.8,9.1,9.5,5.0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,5.6
Urban DTLA VIP Penthouse with Pool Table,90015.0,8.0,9.4,9.4,9.7,9.7,9.1,9.1,10.0,9.4,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1.3
Urban 20 FT Two Level Loft,90015.0,5.0,9.3,10.0,10.0,9.0,9.5,8.5,8.5,4.0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1.3
AIR Venice on the Beach,90291.0,1807.0,7.8,7.9,7.5,7.4,8.3,7.1,8.0,8.7,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,13.7
