name,Zip code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Free Parking,Fitness Center,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Outdoor Pool,Pet Friendly,Bar,Non-smoking Rooms,WiFi,Dist
Courtyard by Marriott Orlando Lake Nona,32837.0,114.0,9.3,9.6,9.5,9.3,9.4,9.0,8.7,8.9,0,1,1,0,0,0,0,1,0,0,0,0,0,12.4
Wingate by Wyndham - Universal Studios and Convention Center,32819.0,584.0,8.3,8.3,8.4,8.0,8.5,7.9,8.0,8.7,0,1,1,1,0,0,0,1,0,0,0,1,0,5.6
Hilton Garden Inn Orlando at SeaWorld,32821.0,416.0,8.7,8.7,8.7,8.5,9.0,8.2,8.7,9.1,0,1,0,1,0,0,0,1,1,0,1,1,0,9.9
"Hawthorn Suites by Wyndham Lake Buena Vista, a staySky Hotel & Resort",32836.0,928.0,8.1,7.7,8.1,7.9,8.4,8.1,8.7,8.7,0,1,1,1,0,0,0,1,0,0,0,1,0,11.8
Celebrate BR,34747.0,19.0,8.9,8.8,8.6,9.0,9.2,8.8,9.4,9.0,0,1,0,1,0,0,0,1,1,0,0,1,0,19.3
Best Western Orlando Convention Center Hotel,32821.0,1973.0,8.2,8.2,7.9,7.9,8.5,8.2,8.7,8.5,1,1,0,1,0,0,0,1,1,0,0,0,0,9.3
DoubleTree Suites by Hilton Orlando at Disney Springs,32830.0,211.0,8.4,8.5,8.5,8.2,8.5,7.9,7.4,8.8,0,0,0,1,1,1,0,1,1,0,1,0,0,13.0
Best Western International Drive - Orlando,32819.0,1399.0,8.1,8.0,7.8,7.8,8.5,7.9,8.4,8.9,0,1,1,1,0,0,0,1,0,0,0,1,0,8.1
Holiday Inn Resort Orlando - Lake Buena Vista,32821.0,1064.0,8.5,8.4,8.5,8.3,8.6,8.1,8.3,8.8,0,0,0,1,1,0,0,1,1,1,1,0,0,13.0
Autumn Villa IC049,34747.0,16.0,8.6,8.0,8.6,8.6,8.9,8.6,7.5,8.9,0,1,0,0,0,0,0,1,1,0,0,1,0,19.9
Two Bedroom Townhouse in Oakwater Resort 27ow09,34747.0,5.0,8.4,9.0,8.5,8.5,6.5,9.0,9.0,1.0,0,1,1,0,0,0,0,1,1,0,0,1,0,18.6
Crowne Plaza Hotel Orlando Downtown,32801.0,1153.0,8.3,8.7,8.6,8.4,8.6,7.8,8.8,7.9,0,0,0,1,1,0,0,1,1,0,1,1,0,1.2
Disney Home,34747.0,66.0,9.2,9.3,9.5,9.3,8.8,9.1,9.1,9.3,0,1,0,1,0,0,0,1,0,0,0,1,0,19.3
Embassy Suites Orlando - Airport,32822.0,10.0,7.9,7.8,8.5,7.3,8.0,7.3,2.5,8.5,0,0,0,1,1,0,0,0,1,0,1,0,1,6.8
Paradise Palms 5 Bedroom-3503,34747.0,8.0,9.1,9.4,9.7,8.8,8.6,8.8,10.0,9.1,0,1,1,0,0,0,0,1,1,0,0,0,0,18.0
"Bluegreen Vacations The Fountains, Ascend Resort Collection",32821.0,283.0,8.6,8.5,8.8,8.7,8.6,8.3,7.4,8.9,0,1,0,1,0,0,0,1,1,0,1,1,0,11.2
Mickey Family Vacation Home,34747.0,390.0,8.7,8.3,8.7,8.7,8.4,8.8,9.2,9.2,0,1,0,1,0,0,0,1,1,0,0,1,0,18.6
Holiday Inn Express Hotel & Suites Orlando East-UCF Area,32826.0,137.0,9.0,9.2,9.2,8.9,9.2,8.7,9.1,8.6,0,1,0,1,0,0,0,1,0,0,0,1,0,11.2
Quality Suites Orlando Kissimmee The Royale Parc Suites,34746.0,1650.0,8.2,8.0,8.2,8.0,8.5,8.2,7.8,8.6,0,1,0,0,0,0,0,1,1,1,0,0,0,16.2
Grand Lake & Lifetime of Vacations Resorts,34746.0,288.0,8.7,8.6,8.5,8.5,8.7,8.6,8.8,9.1,0,1,0,1,0,0,0,1,1,0,0,1,0,18.6
Wyndham Lake Buena Vista Resort Disney Springs® Resort Area,32830.0,769.0,8.5,8.7,8.5,8.3,8.4,7.9,8.0,9.1,0,0,0,1,1,1,0,1,0,0,1,1,0,13.0
"Bohemian Hotel Celebration, Autograph Collection",34747.0,160.0,8.6,8.8,8.8,8.6,8.7,7.7,8.7,9.2,0,0,0,0,1,0,0,1,1,1,1,1,0,17.4
Parkside Palace,34747.0,5.0,8.4,8.0,9.0,8.0,8.5,8.5,8.5,2.0,0,1,0,1,0,0,0,1,1,0,1,1,0,19.3
